A1,A2,A3,A4,A5
125,256,16,128,198
29,32,8,32,269
29,32,8,32,220
29,32,8,32,172
29,32,8,16,132
26,64,8,32,318
23,64,16,32,367
23,64,16,32,489
23,64,16,32,636
23,128,32,64,1144
400,0,1,2,38
400,4,1,6,40
60,65,1,8,92
50,65,1,8,138
350,0,1,4,10
200,0,4,32,35
167,8,4,15,19
143,0,7,32,28
143,0,5,16,31
110,142,8,64,120
143,0,5,32,30
143,0,5,20,33
143,0,6,64,61
110,0,6,64,76
320,0,1,12,23
320,4,1,3,69
320,0,1,6,33
320,4,1,3,27
320,4,1,5,77
320,4,1,6,27
25,131,12,24,274
25,131,12,24,368
50,30,12,24,32
50,30,12,24,63
56,30,12,24,106
64,30,12,24,208
50,8,1,4,20
50,8,1,5,29
50,8,1,5,71
50,8,3,5,26
50,8,3,5,36
50,8,3,5,40
50,8,3,6,52
50,8,3,6,60
133,9,3,12,72
133,9,3,12,72
810,8,1,1,18
810,0,1,1,20
320,4,1,5,40
200,8,1,8,62
700,0,1,1,24
700,0,1,1,24
140,16,1,3,138
200,0,1,2,36
110,16,1,2,26
110,16,1,2,60
220,16,1,2,71
800,0,1,4,12
800,0,1,4,14
800,0,1,4,20
800,0,1,4,16
800,0,1,4,22
125,0,8,20,36
75,64,1,38,144
75,64,1,38,144
75,128,1,38,259
90,0,3,10,17
105,0,3,10,26
105,0,3,24,32
105,8,3,19,32
75,8,3,24,62
75,8,3,48,64
175,0,3,24,22
300,0,6,24,36
300,6,6,24,44
300,6,6,24,50
300,0,1,24,45
300,6,1,24,53
300,6,6,24,36
180,6,1,31,84
330,0,2,4,16
300,8,3,64,38
300,8,2,112,38
330,0,1,2,16
330,0,3,6,22
140,0,3,6,29
140,0,4,8,40
140,8,1,20,35
140,32,1,20,134
140,32,1,54,66
140,32,1,54,141
140,32,1,54,189
140,8,1,20,22
57,1,6,12,132
57,64,12,16,237
26,64,16,24,465
26,64,8,24,465
26,0,8,24,277
26,0,8,16,185
480,0,1,1,6
